Epoch	Total Error
1	2.1808442230227083
2	2.1473230883413157
3	2.1333526183834506
4	2.131437945110078
5	2.1279677844004925
6	2.127114268430891
7	2.1275582183008037
8	2.1249427747419087
9	2.1217415707389193
10	2.121311001359067
11	2.1229631167412766
12	2.1249687840948317
13	2.126489043195215
14	2.12703914441507
15	2.1266101459859006
16	2.125768038557619
17	2.1249868620411743
18	2.1242422655432502
19	2.1231938740231886
20	2.121385948720467
21	2.118258765589001
22	2.1130443533408343
23	2.1044874535431717
24	2.090361474293008
25	2.066850538525753
26	2.027882456136485
27	1.9647660999384788
28	1.8671501948913642
29	1.72581629124199
30	1.532491037938134
31	1.2698225011797954
32	0.924246682035002
33	0.5699841275097466
34	0.3222137349386066
35	0.18768004285853304
36	0.11867139756117004
37	0.08145671610993205
38	0.06001937720523829
39	0.046958027149261346
