Epoch	Total Error
1	2.1593698625600917
2	2.157061324690759
3	2.1550500577027867
4	2.153291715663022
5	2.1517514883022204
6	2.150401401962861
7	2.1492184937421484
8	2.148183558994876
9	2.1472802782955007
10	2.146494597952599
11	2.145814281848039
12	2.1452285805166236
13	2.1447279815969646
14	2.1443040176399113
15	2.1439491150280063
16	2.1436564728856435
17	2.143419964270571
18	2.1432340542274826
19	2.1430937308371916
20	2.1429944464589994
21	2.1429320671016745
22	2.14290282837646
23	2.1429032968540382
24	2.1429303359132748
25	2.1429810753641765
26	2.1430528842720236
27	2.1431433465185483
28	2.1432502387192423
29	2.1433715101802857
30	2.143505264629143
31	2.143649743492877
32	2.1438033105303242
33	2.1439644376501645
34	2.1441316917680178
35	2.1443037225729444
36	2.144479251087948
37	2.1446570589208074
38	2.1448359781112565
39	2.145014881488581
40	2.145192673460331
41	2.145368281158326
42	2.1455406458726034
43	2.1457087147075993
44	2.1458714323977506
45	2.146027733221979
46	2.1461765329582523
47	2.1463167208206655
48	2.146447151322303
49	2.1465666360076527
50	2.1466739349984993
51	2.1467677482971603
52	2.1468467067906825
53	2.146909362899236
54	2.146954180811502
55	2.1469795262494578
56	2.1469836557047013
57	2.146964705088384
58	2.146920677737213
59	2.1468494317188274
60	2.146748666381523
61	2.1466159080958227
62	2.146448495139307
63	2.146243561681449
64	2.1459980208326113
65	2.145708546731086
66	2.14537155565474
67	2.1449831861600224
68	2.1445392782714423
69	2.144035351769951
70	2.143466583659798
71	2.142827784931234
72	2.1421133767820284
73	2.1413173665150538
74	2.140433323393338
75	2.139454354808913
76	2.138373083208479
77	2.1371816243179946
78	2.135871567320234
79	2.1344339577638944
80	2.1328592841193146
81	2.1311374690424274
82	2.1292578665622544
83	2.1272092665635762
84	2.1249799080889655
85	2.122557503124376
86	2.1199292726488017
87	2.117081996806853
88	2.114002081086401
89	2.1106756403315425
90	2.107088602271408
91	2.103226831973428
92	2.0990762782107586
93	2.0946231421444543
94	2.0898540679428597
95	2.0847563539821197
96	2.079318182093319
97	2.0735288609596187
98	2.0673790782575283
99	2.0608611545400475
100	2.0539692902614624
101	2.0466997958546673
102	2.0390512935236482
103	2.0310248785509724
104	2.022624227588474
105	2.0138556417286857
106	2.004728013240735
