1	39.0
2	49.0
3	54.0
4	50.0
5	25.0
6	26.0
7	33.0
8	32.0
9	64.0
10	32.0
11	33.0
12	28.0
13	45.0
14	31.0
15	51.0
16	33.0
17	32.0
18	45.0
19	34.0
20	26.0
21	55.0
22	31.0
23	36.0
24	38.0
25	47.0
26	31.0
27	43.0
28	26.0
29	26.0
30	30.0
31	37.0
32	41.0
33	56.0
34	31.0
35	27.0
36	33.0
37	24.0
38	26.0
39	33.0
40	26.0
41	26.0
42	31.0
43	28.0
44	34.0
45	31.0
46	38.0
47	34.0
48	36.0
49	36.0
50	44.0
51	23.0
52	32.0
53	35.0
54	29.0
55	34.0
56	60.0
57	43.0
58	73.0
59	24.0
60	74.0
61	60.0
62	23.0
63	22.0
64	49.0
65	23.0
66	43.0
67	37.0
68	24.0
69	46.0
70	39.0
71	38.0
72	37.0
73	29.0
74	57.0
75	36.0
76	36.0
77	59.0
78	33.0
79	40.0
80	60.0
81	35.0
82	52.0
83	42.0
84	56.0
85	29.0
86	64.0
87	28.0
88	31.0
89	41.0
90	31.0
91	27.0
92	41.0
93	32.0
94	52.0
95	32.0
96	30.0
97	21.0
98	26.0
99	56.0
100	67.0
