1	263.0
2	298.0
3	310.0
4	297.0
5	224.0
6	236.0
7	241.0
8	302.0
9	233.0
10	243.0
11	238.0
12	254.0
13	368.0
14	216.0
15	240.0
16	247.0
17	260.0
18	260.0
19	223.0
20	245.0
21	274.0
22	231.0
23	304.0
24	255.0
25	287.0
26	274.0
27	333.0
28	205.0
29	344.0
30	203.0
31	228.0
32	277.0
33	223.0
34	257.0
35	237.0
36	335.0
37	352.0
38	257.0
39	355.0
40	307.0
41	270.0
42	271.0
43	212.0
44	226.0
45	265.0
46	318.0
47	264.0
48	312.0
49	179.0
50	269.0
51	197.0
52	303.0
53	325.0
54	243.0
55	199.0
56	321.0
57	229.0
58	324.0
59	223.0
60	266.0
61	278.0
62	242.0
63	250.0
64	200.0
65	325.0
66	219.0
67	237.0
68	284.0
69	225.0
70	335.0
71	259.0
72	230.0
73	344.0
74	231.0
75	233.0
76	288.0
77	196.0
78	252.0
79	201.0
80	261.0
81	380.0
82	262.0
83	254.0
84	239.0
85	219.0
86	229.0
87	239.0
88	240.0
89	263.0
90	302.0
91	253.0
92	371.0
93	259.0
94	302.0
95	304.0
96	226.0
97	216.0
98	234.0
99	254.0
100	347.0
